Episode,Reward,Latency_s,Energy_J,Completion_Rate,Reward_MA10,Latency_MA10,Energy_MA10,Completion_Rate_MA10
1,-7364.798077387486,0,0,1.0,-7364.798077387486,0.0,0.0,1.0
2,-8342.116996824461,0,0,1.0,-7853.457537105974,0.0,0.0,1.0
3,-9833.650433173501,0,0,1.0,-8513.52183579515,0.0,0.0,1.0
4,-7642.899202534895,0,0,1.0,-8295.866177480086,0.0,0.0,1.0
5,-11423.611269712052,0,0,1.0,-8921.41519592648,0.0,0.0,1.0
6,-10118.061705879021,0,0,1.0,-9120.85628091857,0.0,0.0,1.0
7,-8434.688506663595,0,0,1.0,-9022.832313167859,0.0,0.0,1.0
8,-6917.7414875741815,0,0,1.0,-8759.695959968649,0.0,0.0,1.0
9,-10900.26869723116,0,0,1.0,-8997.53737522004,0.0,0.0,1.0
10,-11612.775497480805,0,0,1.0,-9259.061187446116,0.0,0.0,1.0
11,-9079.374104457496,0,0,1.0,-9430.518790153117,0.0,0.0,1.0
12,-7609.429458518213,0,0,1.0,-9357.250036322492,0.0,0.0,1.0
13,-8240.97445325,0,0,1.0,-9197.982438330142,0.0,0.0,1.0
14,-7797.762806127002,0,0,1.0,-9213.468798689353,0.0,0.0,1.0
15,-11924.934680543272,0,0,1.0,-9263.601139772476,0.0,0.0,1.0
16,-10954.15358814719,0,0,1.0,-9347.210327999292,0.0,0.0,1.0
17,-8044.727535196014,0,0,1.0,-9308.214230852534,0.0,0.0,1.0
18,-6032.380949551158,0,0,1.0,-9219.678177050231,0.0,0.0,1.0
19,-9009.840611723026,0,0,1.0,-9030.635368499416,0.0,0.0,1.0
20,-7816.428390316951,0,0,1.0,-8651.000657783032,0.0,0.0,1.0
21,-9603.703140922828,0,0,1.0,-8703.433561429567,0.0,0.0,1.0
22,-7877.495862901239,0,0,1.0,-8730.240201867866,0.0,0.0,1.0
23,-8066.235003074631,0,0,1.0,-8712.766256850333,0.0,0.0,1.0
24,-8357.532691665892,0,0,1.0,-8768.74324540422,0.0,0.0,1.0
25,-8441.4268907872,0,0,1.0,-8420.392466428613,0.0,0.0,1.0
26,-7572.6279385879325,0,0,1.0,-8082.239901472686,0.0,0.0,1.0
27,-8137.03547212622,0,0,1.0,-8091.470695165709,0.0,0.0,1.0
28,-8004.472961834318,0,0,1.0,-8288.679896394022,0.0,0.0,1.0
29,-7867.6348767226855,0,0,1.0,-8174.459322893989,0.0,0.0,1.0
30,-8645.776159139928,0,0,1.0,-8257.394099776287,0.0,0.0,1.0
31,-8060.472910411292,0,0,1.0,-8103.071076725134,0.0,0.0,1.0
32,-8518.850406356562,0,0,1.0,-8167.206531070666,0.0,0.0,1.0
33,-6870.468469879133,0,0,1.0,-8047.6298777511165,0.0,0.0,1.0
34,-8824.022156337207,0,0,1.0,-8094.278824218248,0.0,0.0,1.0
35,-7701.677223789875,0,0,1.0,-8020.303857518515,0.0,0.0,1.0
36,-9017.604456583822,0,0,1.0,-8164.801509318105,0.0,0.0,1.0
37,-10179.956360735338,0,0,1.0,-8369.093598179015,0.0,0.0,1.0
38,-8623.379465900172,0,0,1.0,-8430.984248585602,0.0,0.0,1.0
39,-7711.690350906457,0,0,1.0,-8415.38979600398,0.0,0.0,1.0
40,-8642.153122951393,0,0,1.0,-8415.027492385125,0.0,0.0,1.0
