Episode,Reward,Latency_s,Energy_J,Completion_Rate,Reward_MA10,Latency_MA10,Energy_MA10,Completion_Rate_MA10
1,-10118.810681792902,0,0,1.0,-10118.810681792902,0.0,0.0,1.0
2,-9381.630062987917,0,0,1.0,-9750.22037239041,0.0,0.0,1.0
3,-12122.144329143179,0,0,1.0,-10540.861691307999,0.0,0.0,1.0
4,-10941.432514518534,0,0,1.0,-10641.004397110633,0.0,0.0,1.0
5,-11934.424413023055,0,0,1.0,-10899.688400293118,0.0,0.0,1.0
6,-11730.283551380327,0,0,1.0,-11038.12092547432,0.0,0.0,1.0
7,-11503.523809663806,0,0,1.0,-11104.607051787103,0.0,0.0,1.0
8,-10154.305348391277,0,0,1.0,-10985.819338862624,0.0,0.0,1.0
9,-12129.80943112465,0,0,1.0,-11112.929349113962,0.0,0.0,1.0
10,-10588.754567426282,0,0,1.0,-11060.511870945193,0.0,0.0,1.0
11,-8428.73433319341,0,0,1.0,-10891.504236085242,0.0,0.0,1.0
12,-5430.584803447033,0,0,1.0,-10496.399710131154,0.0,0.0,1.0
13,-7402.226191574149,0,0,1.0,-10024.407896374254,0.0,0.0,1.0
14,-6851.071156911351,0,0,1.0,-9615.371760613536,0.0,0.0,1.0
15,-5750.312262958785,0,0,1.0,-8996.960545607106,0.0,0.0,1.0
16,-4815.278077034488,0,0,1.0,-8305.459998172522,0.0,0.0,1.0
17,-3641.34604451756,0,0,1.0,-7519.242221657897,0.0,0.0,1.0
18,-5299.594682109137,0,0,1.0,-7033.7711550296835,0.0,0.0,1.0
19,-7683.668610840706,0,0,1.0,-6589.15707300129,0.0,0.0,1.0
20,-9559.621813958363,0,0,1.0,-6486.243797654499,0.0,0.0,1.0
21,-7919.218565591824,0,0,1.0,-6435.29222089434,0.0,0.0,1.0
22,-8860.388024640037,0,0,1.0,-6778.27254301364,0.0,0.0,1.0
23,-9367.697035544223,0,0,1.0,-6974.819627410648,0.0,0.0,1.0
24,-4781.094035565761,0,0,1.0,-6767.8219152760885,0.0,0.0,1.0
25,-4432.606503367385,0,0,1.0,-6636.0513393169485,0.0,0.0,1.0
26,-4735.552505884771,0,0,1.0,-6628.078782201977,0.0,0.0,1.0
27,-4025.1324016242324,0,0,1.0,-6666.457417912645,0.0,0.0,1.0
28,-3257.199798886729,0,0,1.0,-6462.2179295904025,0.0,0.0,1.0
29,-2970.5904164908407,0,0,1.0,-5990.910110155417,0.0,0.0,1.0
30,-3944.2917108993533,0,0,1.0,-5429.377099849515,0.0,0.0,1.0
31,-4578.797368871687,0,0,1.0,-5095.334980177502,0.0,0.0,1.0
32,-3724.2429492213682,0,0,1.0,-4581.720472635635,0.0,0.0,1.0
33,-2313.5216708860767,0,0,1.0,-3876.30293616982,0.0,0.0,1.0
34,-2419.904082206809,0,0,1.0,-3640.1839408339247,0.0,0.0,1.0
35,-4072.433342012113,0,0,1.0,-3604.1666246983978,0.0,0.0,1.0
36,-4848.279989294573,0,0,1.0,-3615.4393730393786,0.0,0.0,1.0
37,-4354.367787350932,0,0,1.0,-3648.362911612048,0.0,0.0,1.0
38,-2902.485385581531,0,0,1.0,-3612.891470281528,0.0,0.0,1.0
39,-5551.582426068839,0,0,1.0,-3870.9906712393285,0.0,0.0,1.0
40,-2384.9414222837777,0,0,1.0,-3715.0556423777707,0.0,0.0,1.0
41,-4783.776905220169,0,0,1.0,-3735.553596012619,0.0,0.0,1.0
42,-3766.1101225033362,0,0,1.0,-3739.740313340815,0.0,0.0,1.0
43,-2196.3383429076553,0,0,1.0,-3728.0219805429733,0.0,0.0,1.0
44,-3432.853106075841,0,0,1.0,-3829.3168829298766,0.0,0.0,1.0
45,-3073.7123465187874,0,0,1.0,-3729.444783380545,0.0,0.0,1.0
46,-5253.741550716034,0,0,1.0,-3769.9909395226905,0.0,0.0,1.0
47,-2912.577478443503,0,0,1.0,-3625.811908631947,0.0,0.0,1.0
48,-3501.169913630206,0,0,1.0,-3685.6803614368155,0.0,0.0,1.0
