episode,MADDPG_reward,MADDPG_latency,MADDPG_energy,MADDPG_completion_rate,LLM_MADDPG_reward,LLM_MADDPG_latency,LLM_MADDPG_energy,LLM_MADDPG_completion_rate,LLM_only_reward,LLM_only_latency,LLM_only_energy,LLM_only_completion_rate
1,0.0724,15.256433494666144,1.0618,0.4517,0.0903,15.394360325242488,1.0834,0.5567,0.5546,7.52,0.7792,0.7332
2,0.0452,14.40185618739672,1.0365,0.4,0.0937,14.391905832243669,0.9997,0.5376,0.5175,7.468,0.6901,0.7045
3,0.0819,15.723959868494898,1.0883,0.4494,0.0052,13.844471780296008,1.0825,0.5,0.5122,7.4957,0.778,0.7197
4,0.1227,14.030940727901704,1.0683,0.4736,0.1133,15.597090504100724,1.0386,0.5949,0.516,7.0,0.7704,0.7238
5,0.045,14.992417781843372,1.0566,0.4189,0.1931,14.932126609075773,1.0256,0.607,0.5991,7.2842,0.7461,0.7041
6,0.0464,14.98644832168331,1.0768,0.4417,0.0579,14.167615891053789,1.0812,0.5365,0.5088,7.3492,0.7577,0.7191
7,0.1294,14.289196806789555,1.1073,0.4557,0.2259,13.265258646158562,1.1,0.5955,0.5573,7.6896,0.8099,0.7519
8,0.0942,14.11277832255082,1.0965,0.4951,0.1919,14.779943253693533,1.1,0.5766,0.628,7.2843,0.7926,0.7918
9,0.0399,14.565193815061827,1.0837,0.4,0.1116,12.551425919346638,1.0823,0.5501,0.55,7.0,0.7664,0.7263
10,0.0868,11.67134705441693,1.0368,0.417,0.1583,15.687193902489557,1.0273,0.6028,0.6298,7.2173,0.8064,0.8141
11,0.0429,15.524510311266628,1.0697,0.4404,0.2853,15.204190638794673,1.0489,0.6221,0.6267,7.2949,0.8149,0.7538
12,0.0441,15.958454242507148,1.1048,0.4802,0.2299,14.478881900686758,1.0916,0.5802,0.5418,7.0129,0.849,0.6854
13,0.0773,14.430689212369735,1.073,0.4308,0.1842,13.68801926936315,1.0821,0.5625,0.6239,7.6383,0.7806,0.7289
14,0.0,14.05170301900546,1.1142,0.4114,0.172,15.060608820281127,1.1,0.5524,0.6271,7.1387,0.7723,0.765
15,0.0,13.7269809781552,1.096,0.4271,0.199,14.935235956808802,1.1,0.5866,0.5676,7.5561,0.8105,0.7493
16,0.0449,15.025114248588975,1.0986,0.4213,0.1627,16.233097360759388,1.1,0.6031,0.5358,7.2598,0.8432,0.7036
17,0.0259,13.151337098292887,1.0815,0.4025,0.0561,15.44753653675131,1.1,0.5,0.5886,7.7824,0.7828,0.7889
18,0.0869,12.813874066233973,1.0929,0.4843,0.3512,13.550137005445935,1.1,0.6739,0.6566,7.4269,0.7907,0.7522
19,0.0331,15.978198587147318,1.1102,0.4283,0.2239,16.19984254027282,1.1,0.5997,0.6087,7.3988,0.7801,0.6767
20,0.0116,12.959619265033608,1.0853,0.4207,0.2456,15.124816705007804,1.0775,0.6194,0.5294,7.6158,0.8531,0.7592
21,0.1422,13.751449671577655,1.098,0.4538,0.2183,14.395091074997085,1.0891,0.5979,0.6161,7.3075,0.8515,0.7295
22,0.0673,14.151589297327018,1.1217,0.4515,0.1754,14.353286830401029,1.0947,0.5481,0.5726,8.4549,0.8374,0.7157
23,0.0816,13.709295505450084,1.1089,0.4729,0.2183,14.874431385048823,1.1,0.6002,0.6006,7.4285,0.7925,0.7637
24,0.0156,13.663489429149939,1.075,0.4215,0.1238,14.443419760836774,1.08,0.5788,0.6248,7.4104,0.8521,0.7567
25,0.0562,14.012070762261152,1.0918,0.4469,0.3995,12.540185217488844,1.0864,0.703,0.5875,7.5222,0.8115,0.7399
26,0.0868,15.071508380748387,1.0705,0.4926,0.158,15.505739559848625,1.0696,0.5739,0.6384,7.3232,0.8341,0.7616
27,0.031,14.777359018566571,1.0672,0.4327,0.1764,13.516127542523055,1.0423,0.6012,0.6228,7.5108,0.8372,0.7422
28,0.1007,13.810026374676664,1.0925,0.4902,0.222,14.438340123747231,1.1,0.6071,0.6046,7.6248,0.7905,0.7697
29,0.0578,14.331958033526009,1.0883,0.4546,0.347,13.372857325501869,1.1,0.6602,0.5256,7.1089,0.8596,0.702
30,0.0726,14.141267699561421,1.0758,0.4296,0.2618,13.725056612975266,1.0596,0.6161,0.6421,7.7829,0.8244,0.7922
31,0.0596,11.033437595382171,1.1051,0.4422,0.1782,14.663206056315047,1.1,0.5845,0.6591,7.7315,0.8347,0.7807
32,0.1709,13.448447621232171,1.0808,0.517,0.3564,15.207217159383543,1.0742,0.7036,0.5233,7.2161,0.8296,0.6894
33,0.0878,12.372049825176436,1.083,0.4,0.3235,13.716339653763628,1.0762,0.6427,0.583,7.1839,0.8071,0.729
34,0.0416,12.278452622380955,1.0619,0.4297,0.3137,16.358772339104647,1.066,0.6382,0.544,7.763,0.8169,0.7223
35,0.127,14.837895758261165,1.0499,0.5065,0.3297,13.039003528142366,1.0334,0.6813,0.6283,8.5,0.7981,0.7484
36,0.0359,14.299454324330368,1.0774,0.4,0.4507,15.973319745092896,1.0872,0.7286,0.6227,7.7199,0.8016,0.7709
37,0.1009,13.841370689332601,1.0808,0.4331,0.4395,14.673202542949985,1.0732,0.7464,0.524,7.3238,0.7985,0.7188
38,0.004,13.958398221594598,1.0935,0.411,0.2418,13.328053507576259,1.1,0.6473,0.6491,7.966,0.8432,0.7431
39,0.0331,14.84649993636447,1.066,0.4,0.4068,15.263513924891209,1.0806,0.7185,0.5308,7.4645,0.856,0.7274
40,0.1024,15.051623640293332,1.0491,0.4898,0.3232,13.844404506314486,1.0275,0.6759,0.6355,7.6561,0.7382,0.7831
41,0.1274,14.856976732133441,1.0692,0.4635,0.3344,14.52343267661278,1.1,0.6687,0.5777,7.6672,0.8269,0.73
42,0.1024,14.566012017158908,1.039,0.4784,0.184,14.316789247442333,1.0514,0.5593,0.5558,7.9402,0.8286,0.7044
43,0.09,15.048313916793466,1.0729,0.4312,0.2935,14.895726123510421,1.0858,0.631,0.5269,8.5,0.7808,0.7205
44,0.0822,14.293495141305208,1.0809,0.4998,0.2514,14.605655011474296,1.1,0.6118,0.5285,7.7119,0.8893,0.7026
45,0.0297,14.78399129359453,1.0846,0.473,0.3691,14.965578297286568,1.0892,0.7037,0.6125,7.6067,0.8389,0.7165
46,0.0642,14.917459676194117,1.0626,0.4667,0.3888,14.605853036763842,1.0634,0.7261,0.5936,7.3862,0.8694,0.7414
47,0.0763,14.266628041580157,1.125,0.4287,0.1712,15.370710805195916,1.1,0.5857,0.5208,7.1702,0.8599,0.7223
48,0.145,14.888871338398937,1.0628,0.4852,0.3174,13.449851208473062,1.0658,0.663,0.5192,7.6416,0.83,0.692
